Type                                  Module                      Label             Process   
vector<double>                        "akVs4CaloJets"             "rhos"            "RECO"    
vector<double>                        "akVs4PFJets"               "rhos"            "RECO"    
vector<double>                        "akVs5CaloJets"             "rhos"            "RECO"    
vector<double>                        "akVs5PFJets"               "rhos"            "RECO"    
vector<double>                        "iterativeConePu5CaloJets"   "rhos"            "RECO"    
vector<double>                        "akPu3CaloJets"             "sigmas"          "RECO"    
vector<double>                        "akPu3PFJets"               "sigmas"          "RECO"    
vector<double>                        "akPu4CaloJets"             "sigmas"          "RECO"    
vector<double>                        "akPu4PFJets"               "sigmas"          "RECO"    
vector<double>                        "akPu5CaloJets"             "sigmas"          "RECO"    
vector<double>                        "akPu5PFJets"               "sigmas"          "RECO"    
vector<double>                        "akVs2CaloJets"             "sigmas"          "RECO"    
vector<double>                        "akVs3CaloJets"             "sigmas"          "RECO"    
vector<double>                        "akVs3PFJets"               "sigmas"          "RECO"    
vector<double>                        "akVs4CaloJets"             "sigmas"          "RECO"    
vector<double>                        "akVs4PFJets"               "sigmas"          "RECO"    
vector<double>                        "akVs5CaloJets"             "sigmas"          "RECO"    
vector<double>                        "akVs5PFJets"               "sigmas"          "RECO"    
vector<double>                        "iterativeConePu5CaloJets"   "sigmas"          "RECO"    
vector<float>                         "voronoiBackgroundCalo"     ""                "RECO"    
vector<float>                         "voronoiBackgroundPF"       ""                "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "RECO"    
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "RECO"    
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "RECO"    
vector<reco::BasicJet>                "ak5CastorJets"             ""                "RECO"    
vector<reco::BasicJet>                "ak7CastorJets"             ""                "RECO"    
vector<reco::BasicJet>                "akPu3PFJets"               ""                "RECO"    
vector<reco::BasicJet>                "akPu4PFJets"               ""                "RECO"    
vector<reco::BasicJet>                "akPu5PFJets"               ""                "RECO"    
vector<reco::CaloCluster>             "particleFlowEGamma"        "EBEEClusters"    "RECO"    
vector<reco::CaloCluster>             "particleFlowEGamma"        "ESClusters"      "RECO"    
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "RECO"    
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALPreshower"   "RECO"    
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "RECO"    
vector<reco::CaloJet>                 "akPu3CaloJets"             ""                "RECO"    
vector<reco::CaloJet>                 "akPu4CaloJets"             ""                "RECO"    
vector<reco::CaloJet>                 "akPu5CaloJets"             ""                "RECO"    
vector<reco::CaloJet>                 "akVs2CaloJets"             ""                "RECO"    
vector<reco::CaloJet>                 "akVs3CaloJets"             ""                "RECO"    
vector<reco::CaloJet>                 "akVs4CaloJets"             ""                "RECO"    
vector<reco::CaloJet>                 "akVs5CaloJets"             ""                "RECO"    
vector<reco::CaloJet>                 "iterativeConePu5CaloJets"   ""                "RECO"    
vector<reco::CastorTower>             "CastorTowerReco"           ""                "RECO"    
vector<reco::Conversion>              "particleFlowEGamma"        ""                "RECO"    
vector<reco::ElectronSeed>            "ecalDrivenElectronSeeds"   ""                "RECO"    
vector<reco::EvtPlane>                "hiEvtPlane"                ""                "RECO"    
vector<reco::GsfElectron>             "gedGsfElectronsTmp"        ""                "RECO"    
vector<reco::GsfElectronCore>         "gedGsfElectronCores"       ""                "RECO"    
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "RECO"    
vector<reco::Muon>                    "muons"                     ""                "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           ""                "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughNeutralHadrons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedTrackerAndGlobalMuons"   "RECO"    
vector<reco::PFJet>                   "akVs3PFJets"               ""                "RECO"    
vector<reco::PFJet>                   "akVs4PFJets"               ""                "RECO"    
vector<reco::PFJet>                   "akVs5PFJets"               ""                "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitECAL"    "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHBHE"    "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHF"      "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHO"      "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitPS"      "Cleaned"         "RECO"    
vector<reco::Photon>                  "gedPhotonsTmp"             ""                "RECO"    
vector<reco::Photon>                  "photons"                   ""                "RECO"    
vector<reco::PhotonCore>              "gedPhotonCore"             ""                "RECO"    
vector<reco::PhotonCore>              "photonCore"                ""                "RECO"    
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "RECO"    
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "RECO"    
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "RECO"    
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "RECO"    
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "RECO"    
vector<reco::SuperCluster>            "correctedIslandBarrelSuperClusters"   ""                "RECO"    
vector<reco::SuperCluster>            "correctedIslandEndcapSuperClusters"   ""                "RECO"    
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "RECO"    
vector<reco::SuperCluster>            "particleFlowEGamma"        ""                "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "RECO"    
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "RECO"    
vector<reco::Track>                   "displacedStandAloneMuons"   ""                "RECO"    
vector<reco::Track>                   "globalMuons"               ""                "RECO"    
vector<reco::Track>                   "hiGeneralAndPixelTracks"   ""                "RECO"    
vector<reco::Track>                   "hiGeneralTracks"           ""                "RECO"    
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "RECO"    
vector<reco::Track>                   "standAloneMuons"           ""                "RECO"    
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "RECO"    
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "RECO"    
vector<reco::Track>                   "tevMuons"                  "default"         "RECO"    
vector<reco::Track>                   "tevMuons"                  "dyt"             "RECO"    
vector<reco::Track>                   "tevMuons"                  "firstHit"        "RECO"    
vector<reco::Track>                   "tevMuons"                  "picky"           "RECO"    
vector<reco::TrackExtra>              "displacedStandAloneMuons"   ""                "RECO"    
vector<reco::TrackExtra>              "electronGsfTracks"         ""                "RECO"    
vector<reco::TrackExtra>              "globalMuons"               ""                "RECO"    
vector<reco::TrackExtra>              "refittedStandAloneMuons"   ""                "RECO"    
vector<reco::TrackExtra>              "standAloneMuons"           ""                "RECO"    
vector<reco::TrackExtra>              "tevMuons"                  "default"         "RECO"    
vector<reco::TrackExtra>              "tevMuons"                  "dyt"             "RECO"    
vector<reco::TrackExtra>              "tevMuons"                  "firstHit"        "RECO"    
vector<reco::TrackExtra>              "tevMuons"                  "picky"           "RECO"    
vector<reco::Vertex>                  "hiSelectedVertex"          ""                "RECO"  
